184.931506849, -158.457967821 
189.863013699, -158.457727199 
194.794520548, -158.457345171 
199.726027397, -158.456842341 
204.657534247, -158.456244012 
209.589041096, -158.455586229 
214.520547945, -158.454908727 
219.452054795, -158.454258321 
224.383561644, -158.453680868 
229.315068493, -158.453213879 
234.246575342, -158.452882297 
239.178082192, -158.452714364 
244.109589041, -158.452726803 
249.04109589, -158.452913055 
253.97260274, -158.453259014 
258.904109589, -158.453735767 
263.835616438, -158.454293716 
268.767123288, -158.454881514 
273.698630137, -158.455440028 
278.630136986, -158.455934602 
283.561643836, -158.456326706 
288.493150685, -158.456591932 
293.424657534, -158.456709611 
298.356164384, -158.456668421 
303.287671233, -158.45646141 
308.219178082, -158.456080801 
313.150684932, -158.455540425 
318.082191781, -158.454852831 
323.01369863, -158.454046402 
327.945205479, -158.453156212 
332.876712329, -158.452230454 
337.808219178, -158.451321485 
342.739726027, -158.450486344 
347.671232877, -158.449786198 
352.602739726, -158.449275443 
357.534246575, -158.449007424 
362.465753425, -158.449007439 
367.397260274, -158.449275435 
372.328767123, -158.4497862 
377.260273973, -158.450486331 
382.191780822, -158.451321478 
387.123287671, -158.452230452 
392.054794521, -158.453156284 
396.98630137, -158.454046383 
401.917808219, -158.454852852 
406.849315068, -158.455540405 
411.780821918, -158.456080792 
416.712328767, -158.456461413 
421.643835616, -158.456668419 
426.575342466, -158.456709615 
431.506849315, -158.456591935 
436.438356164, -158.456326703 
441.369863014, -158.455934604 
446.301369863, -158.455440028 
451.232876712, -158.454881541 
456.164383562, -158.454293725 
461.095890411, -158.45373578 
466.02739726, -158.453259019 
470.95890411, -158.452913059 
475.890410959, -158.452726807 
480.821917808, -158.45271437 
485.753424658, -158.452882328 
490.684931507, -158.453213894 
495.616438356, -158.45368087 
500.547945205, -158.454258336 
505.479452055, -158.454908722 
510.410958904, -158.455586231 
515.342465753, -158.456243883 
520.273972603, -158.456842422 
525.205479452, -158.457345151 
530.136986301, -158.457727155 
535.068493151, -158.457967796 
