       22
 -0.2928200000000000E+01 -0.2072600000000000E+01  0.3687000000000000E+00
 -0.3345500000000000E+01 -0.1129700000000000E+01  0.3680000000000000E-01
 -0.4001300000000000E+01 -0.7459000000000000E+00  0.8106000000000000E+00
 -0.3941200000000000E+01 -0.1289800000000000E+01 -0.8521000000000000E+00
 -0.2294900000000000E+01 -0.8359999999999999E-01 -0.2664000000000000E+00
 -0.2564800000000000E+01  0.9275000000000000E+00 -0.8618000000000000E+00
 -0.1053700000000000E+01 -0.3481000000000000E+00  0.1880000000000000E+00
 -0.8439000000000000E+00 -0.1200800000000000E+01  0.6563000000000000E+00
  0.5120000000000000E-01  0.5544000000000000E+00 -0.2230000000000000E-01
 -0.3500000000000000E-01  0.9684000000000000E+00 -0.1019300000000000E+01
  0.6210000000000000E-01  0.1704100000000000E+01  0.9943000000000000E+00
 -0.8669000000000000E+00  0.2253500000000000E+01  0.9191000000000000E+00
  0.1612000000000000E+00  0.1314700000000000E+01  0.2001700000000000E+01
  0.8832000000000000E+00  0.2388500000000000E+01  0.8073000000000000E+00
  0.1335600000000000E+01 -0.2622000000000000E+00  0.8810000000000000E-01
  0.1371800000000000E+01 -0.1299500000000000E+01  0.6984000000000000E+00
  0.2419800000000000E+01  0.2761000000000000E+00 -0.4981000000000000E+00
  0.2308300000000000E+01  0.1079000000000000E+01 -0.1072500000000000E+01
  0.3710100000000000E+01 -0.3810000000000000E+00 -0.4622000000000000E+00
  0.3951800000000000E+01 -0.6657000000000000E+00  0.5517000000000000E+00
  0.3721900000000000E+01 -0.1271000000000000E+01 -0.1080800000000000E+01
  0.4460100000000000E+01  0.3097000000000000E+00 -0.8231000000000001E+00
  0 START of Energies
 -0.1682690409919626E+02
 -0.1369586001114547E+01
 -0.8168693697643498E+02
  0.0000000000000000E+00
  0.1295825840643264E+01
  0.9983571396003664E+00
  0.9246969032493372E+01
  0.4278479511406595E+01
  0.5040998735420965E+02
  0.0000000000000000E+00
  0.0000000000000000E+00
  0.0000000000000000E+00
  0.0000000000000000E+00
  0.0000000000000000E+00
  0.0000000000000000E+00
  0.0000000000000000E+00
  0.0000000000000000E+00 -0.8168693697643498E+02  0.0000000000000000E+00
  0.0000000000000000E+00 -0.1369586001114547E+01  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  1 START of VIRIALS
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.7124208929878678E+02 -0.1042755982763709E+02 -0.1274545661316615E+02
 -0.1042755982763709E+02  0.1950667055425757E+01 -0.3376114489455734E+01
 -0.1274545661316615E+02 -0.3376114489455734E+01  0.2983963973619213E+01
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
 -0.7453237235464037E+02  0.1300803721362611E+02  0.9186267296374790E+01
  0.1300803721362615E+02 -0.5870652992253557E+02  0.3237158203606113E+02
  0.9186267296374780E+01  0.3237158203606113E+02 -0.4878507428725237E+02
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  0.0000000000000000E+00  0.0000000000000000E+00  0.0000000000000000E+00
  2 Total Force
  0.6240512010679990E+01 -0.1383272957852931E+01 -0.4900329896791860E+00
 -0.1007566587718116E+02  0.6469526972310301E+01 -0.1620315068102602E+01
  0.1679100901868566E-01  0.1691961791095049E+01  0.2732468347596512E+01
 -0.7892039051025537E+00 -0.1111882248992862E+01 -0.4762107523961412E+01
  0.2777446162817327E+02 -0.3214658123469862E+02  0.2453952232229621E+02
 -0.1228422649440952E+02  0.1638217031638623E+02 -0.1359911849310880E+02
 -0.3279473525591727E+02  0.2402691082729499E+02 -0.7584121815598914E+01
 -0.1303212813319503E+01 -0.1181021893377113E+02  0.6115419972297172E+01
  0.1124292304000122E+02 -0.4749585411350292E+01  0.9300714361897335E+00
  0.3239256321983580E+01  0.2359813967646162E+01 -0.5589666972392172E+01
 -0.5612309810209537E+01 -0.3009718884007887E+01  0.2465668132155199E+01
 -0.5003407711483286E+01  0.3676654735758249E+01  0.1461611784209357E+00
 -0.2645731394081063E+00 -0.2672211055177111E+01  0.3718197060133925E+01
  0.3143422596264867E+01  0.8525207158496652E+00 -0.2875079854238446E+01
  0.1492624290135477E+02  0.3933751818645638E+02 -0.2287625804829052E+02
  0.3093408090825328E+00 -0.2837205223962885E+02  0.1685359311278527E+02
 -0.1022713671415869E+02 -0.2492061082183561E+02  0.7155198803968874E+01
 -0.1640684058110257E+01  0.1261650854289091E+02 -0.3839082635800305E+01
  0.8246503573893703E+01  0.6292572832492032E+01 -0.3985824070389819E+01
  0.1739058132435026E+01 -0.1900185001644918E+01  0.7732778278031383E+01
 -0.3053049181779450E+01 -0.3981824526180752E+01 -0.3600190526051664E+01
